Timestamp,"Стартова заплата на текущата позиция (месечна, нето, в лева)","Текуща заплата (месечна, нето, в лева)",Колко години стаж имате на текущата позиция?,Колко години стаж имате?,За колко човека отговаряте?,В коя област работите?,Какво е точното название на позицията Ви?,Град,Заплаща ли се Overtime,"Годишен размер на паричните бонуси (Нето, в лева)","Име на фирмата, в която работите",Какви технологии ползвате?,Имаше ли съкращения във вашата фирма в резултат на кризата,"Получихте ли увеличение на заплатата, което да компенсира инфлацията в страната",Предлага ли по принцип дистанционна работа фирмата Ви,Фирмата изисква ли естимейти преди започване на таск,Фирмата изисква ли отчитане на часове за работния ден,"Фирмата предлага ли работно време по твое желание (изключвайки срещите)? ""Имаш да свършиш това за днес, пък кога го вършиш - е твоя работа",Получавате ли бонуси на база добре свършена работа,Тип на компанията,Има ли и какви стокови опции или подобни,Брой дни платен отпуск,Получавате ли допълнително здравно осигуряване,Получавате ли карта/бюджет за спорт,"Получавате ли бюджет за допълнителни обучения, курсове и сертификати",Бележки
1/25/2023 1:55:48,25000,29000,1.5,1.5,0,Разработка на софтуер (Dev),Стажант на Ваското,София,Няма overtime,280000,Hopper,,не,да,100% дистанционно,,,да,да,Продукт,"$1,500,000",366,Да,Да,Да,
1/25/2023 2:14:29,1200,2100,4,16,4,DevOps,DevOps Lead,София,Не,1000,,AD,да,не,задължително присъствено,,да,"не, работим фиксирано","не, бонусите са фиксирани",Сървис,,20,Да,Не,Не,
1/25/2023 18:48:48,2000,2000,1,10,0,Разработка на софтуер (Dev),Junior Java Developer,София,Не,0,,"Java, RabbitMq, SonarQube",I am not aware,To be discussed the following weeks,100% дистанционно,"да, но не се налага спазването им",да,"не, но може да си тръгна ако приключа със задачите за деня","не, нямаме бонуси",Сървис,no,20,Да,Да,Да,
1/27/2023 3:58:58,7000,7000,1,9,0,Разработка на софтуер (Dev),Senior Software Developer,София,Не,0,ViewRay,C++,не,не,задължително присъствено,"да, и следи за спазването",да,"не, работим фиксирано","не, нямаме бонуси",Продукт,"Никакви, уж можело да се дават като ""специален"" бонус, ама е само на думи",20,Не,Не,Не,"Контракторски договор към щатите, нямали фирма в България, ама ""скоро"" щяло да има. Това го казаха чак след интервюто, много кофти менуджър"
1/27/2023 4:05:25,12000,16000,2,8,0,Разработка на софтуер (Dev),Kotlin Developer,София,Няма overtime,12000,,"Kotlin, Java, Python, SQL",не,да,дистанционно по желание без ограничение,"да, но не се налага спазването им",не,да,"не, бонусите са фиксирани",Продукт,$100K за 4 години,35,Да,Да,При поискване се дава,
2/1/2023 13:49:41,4000,6000,5,10,0,Разработка на софтуер (Dev),Software Engineer,София,Няма overtime,0,,"C#, .NET",не,не,няколко задължително присъствени дни,не,не,да,"не, нямаме бонуси",Продукт,no,25,Да,Да,Да,"food vouchers (100), mobile phone, free parking/transport "
2/1/2023 20:24:04,6500,10000,0.5,0.5,0,Research,Quant Researcher,София,Няма overtime,25000,-,Python,не,да,100% дистанционно,"да, и следи за спазването",не,да,"не, нямаме бонуси",Сървис,,,,,,
2/3/2023 13:11:03,10000,12400,2,13,10,Мениджмънт/Тиим Лиид,Software Development Manager,София,Няма overtime,3200,US базирана компания ,"Java, Kotlin",да,не,100% дистанционно,"да, но не се налага спазването им",не,да,"не, бонусите са фиксирани",Продукт,не,29,Да,Не,Не,free parking
2/4/2023 12:26:56,6000,6000,0,3,0,Разработка на софтуер (Dev),Frontend Developer,София,Няма overtime,6000,,"Angular, typescript, Bootstrap",не,да,100% дистанционно,"да, но не се налага спазването им",да,да,да,Сървис,,30,Да,Да,,немският е плюс
2/12/2023 1:35:45,6000,9500,3,16,5,Мениджмънт/Тиим Лиид,Senior Software Engineer / Team Lead,София,Няма overtime,4000,,"PHP, Python, Javascript, GoLang, Android, Swift, Flutter, Laravel (PHP), Slim (PHP), Vue, ReactJS",не,не,няколко задължително присъствени дни,"да, и следи за спазването",не,"не, работим фиксирано","не, нямаме бонуси",Продукт,,20,Да,Да,Да,
3/8/2023 19:03:19,6000,6000,0.5,1.5,0,Разработка на софтуер (Dev),Software Engineer,Remote,Да,4000,,"TypeScript, Node.js, PostgreSQL",да,не,100% дистанционно,"да, и следи за спазването",не,да,да,Сървис,да,365,Не,Не,Не,
3/8/2023 19:06:19,2500,3100,1.5,2,0,Разработка на софтуер (Dev),Junior Full Stack Developer,София,Няма overtime,3600,,"React, MUI, Spring, AWS, K8S, Crossplane, ArgoCD",не,не,дистанционно по желание без ограничение,"да, но не се налага спазването им",да,да,да,Сървис,Не,25,Да,Да,Не,
3/8/2023 19:12:31,2200,5600,1.75,1.7,2,"Dev, UI/UX",Full-stack & UI/UX,Remote,Да,8000,,,да,,100% дистанционно,"да, и следи за спазването",,,,,,,,,,
3/12/2023 19:06:19,5000,6100,1.8,13,2,QA,Senior test engineer,София,Да,8000,,,не,"увеличение да, но не компенсира",дистанционно по желание без ограничение,"да, но не се налага спазването им",да,,,Продукт,,25,Да,Да,Да,
3/13/2023 20:20:14,2500,4500,4.5,6,0,BA,Business analyst/Product Owner ,София,Да,0,,,не,да,дистанционно по желание без ограничение,не,да,"не, работим фиксирано","не, нямаме бонуси",Бодилизинг,,22,Да,Да,Да,
3/13/2023 22:41:59,4700,6700,3,8,0,Разработка на софтуер (Dev),Software engineer ,София,Само ако е през уикенда и изрично насрочен от работодателя,9000,,"C+, .NET, Java ",не,"Не беше достатъчно, за да компенсира инфлацията ",дистанционно по желание без ограничение,"да, но не се налага спазването им",не,да,да,Продукт,Не,25,Да,Да,Да,
3/14/2023 0:49:39,1500,2800,1,1,0,Разработка на софтуер (Dev),web dev,София,Няма overtime,2000,,,не,да,100% дистанционно,"да, и следи за спазването",да,да,да,Сървис,,,Да,Да,Да,
3/14/2023 9:34:41,,4500,5,5,0,Разработка на софтуер (Dev),Software developer ,София,Не,12000,,"C, Java, Python",,да,дистанционно по желание без ограничение,"да, и следи за спазването",да,да,"не, бонусите са фиксирани",Продукт,,22,Да,Да,Не,
3/14/2023 10:45:27,4500,5500,1.5,3,0,Разработка на софтуер (Dev),Разработчик софтуер,София,Да,0,,"C#, .NET, MS SQL, Azure",не,да,100% дистанционно,"да, но не се налага спазването им",не,"не, работим фиксирано","не, нямаме бонуси",Сървис,,20,Да,Да,Да,
3/14/2023 11:05:16,2800,3100,1.5,1.5,1,Разработка на софтуер (Dev),Software Engineer,София,Няма overtime,3000,gambling,C# Javascript Kafka,да,не,дистанционно по желание без ограничение,"да, и следи за спазването",да,"не, работим фиксирано","не, бонусите са фиксирани",Продукт,има,20,Да,Да,Да,
3/14/2023 11:38:28,2150,2150,0,0,0,Разработка на софтуер (Dev),Junior Frontend Developer ,Пловдив,Няма overtime,0,,"React, Typescript, CSS, Java",не,не,100% дистанционно,"да, но не се налага спазването им",не,да,"не, нямаме бонуси",Сървис,,24,Да,Да,Да,
3/14/2023 17:33:12,4000,4500,1,5,1,Разработка на софтуер (Dev),Software Engineer,София,Няма overtime,10000,TSG,Java,не,не,дистанционно по желание без ограничение,"да, и следи за спазването",да,"не, работим фиксирано","не, бонусите са фиксирани",Продукт,да,25,Да,Да,Да,
3/15/2023 10:54:51,1000,2000,1.5,1.5,0,QA,QE,София,Да,0,-,"Java, Selenium, RestAssured",не,не,дистанционно по желание без ограничение,"да, и следи за спазването",да,да,"не, нямаме бонуси",Сървис,Не,20,При заплащане - да.,Да,"Трябва да се пита и ако те преценят, че има нужда.",
3/15/2023 16:07:51,2200,2200,0,2,0,Разработка на софтуер (Dev),Front-end developer,София,Да,0,DXC Technology,"React (depends on the client project, some people work with Vue, Angular... also some people work with BE also, mostly Java with Spring)",не,не,дистанционно по желание без ограничение,"да, и следи за спазването",да,да,"не, нямаме бонуси",Бодилизинг,не,24,Да,Да,Да,
3/15/2023 17:41:59,8900,9800,1,15,4,Мениджмънт/Тиим Лиид,Engineering Manager,София,Не,11000,US based auto corporation,"C, C++, Python, Linux",не,"По-добро увеличение от нормалното, но по динфлацията",дистанционно по желание без ограничение,"да, и следи за спазването",не,да,"не, бонусите са фиксирани",Сървис,"$10К RSU, вест на 3 през 1г.",25,Да,Не,"Не е фиксиран бюджет, но плащат за външни обучения",
3/16/2023 1:32:37,1800,1800,0,2,0,Поддръжка на софтуер (Support),Customer Support Engineer,София,Да,0,,"SQL, Linux, Python, Java",не,да,няколко задължително присъствени дни,"да, и следи за спазването",да,"не, работим фиксирано","не, бонусите са фиксирани",Продукт,Да,25,Да,Да,Да,
3/31/2023 14:37:27,800,1600,2,2,0,Разработка на софтуер (Dev),Програмист софтуерни приложения ,София,Няма overtime,0,,"C#,. Net, Javascript, Angular, sql",не,,по предварително определен график,не,не,да,да,Сървис,,,Не,Не,Да,
