Timestamp,"Стартова заплата на текущата позиция (месечна, нето, в лева)","Текуща заплата (месечна, нето, в лева)",Колко години стаж имате на текущата позиция?,Колко години стаж имате?,За колко човека отговаряте?,В коя област работите?,Какво е точното название на позицията Ви?,Град,Заплаща ли се Overtime,"Годишен размер на паричните бонуси (Нето, в лева)","Име на фирмата, в която работите",Какви технологии ползвате?,Имаше ли съкращения във вашата фирма в резултат на кризата,"Получихте ли увеличение на заплатата, което да компенсира инфлацията в страната",Предлага ли по принцип дистанционна работа фирмата Ви,Фирмата изисква ли естимейти преди започване на таск,Фирмата изисква ли отчитане на часове за работния ден,"Фирмата предлага ли работно време по твое желание (изключвайки срещите)? ""Имаш да свършиш това за днес, пък кога го вършиш - е твоя работа",Получавате ли бонуси на база добре свършена работа,Тип на компанията,Има ли и какви стокови опции или подобни,Брой дни платен отпуск,Получавате ли допълнително здравно осигуряване,Получавате ли карта/бюджет за спорт,"Получавате ли бюджет за допълнителни обучения, курсове и сертификати",Бележки
1/19/2023 0:39:48,10500,11250,2,15,30,Мениджмънт/Тиим Лиид,Services Lead,София,Няма overtime,20000,N/A,"Amazon Web Services, Terraform, Git*, Python",не,да,дистанционно по желание без ограничение,"да, и следи за спазването",не,да,"не, бонусите са фиксирани",Сървис,Не,25,Да,Да,Да,
1/19/2023 0:42:13,4000,5300,3,5,0,Разработка на софтуер (Dev),C++ Developer,София,не знам,14000,,C++,не,да,няколко задължително присъствени дни,"да, но не се налага спазването им",не,да,"не, бонусите са фиксирани",Продукт,,26,Да,Да,Да,
1/19/2023 1:53:18,1400,1400,0.1,2,0,Разработка на софтуер (Dev),Full-Stack Developer - Intern,София,Не,1200,,"Java, Angular, Docker, Jekins, SQL, etc.",Не знам,Все още не съм бил в компанията,дистанционно по желание без ограничение,не,да,да,"не, бонусите са фиксирани",Аут сорс,,24,Да,Да,Да,
1/19/2023 2:02:06,1700,2300,7,9,0,Поддръжка на софтуер (Support),Remote Technical Support,София,Да,0,IBM,,да,не,няколко задължително присъствени дни,не,да,"не, работим фиксирано","не, нямаме бонуси",Продукт,Да,23,Да,Да,Да,
1/19/2023 4:36:35,2000,5600,5,15,20,Мениджмънт/Тиим Лиид,PM,София,Да,5000,,,не,"Получих, но не я компенсира",100% дистанционно,"да, и следи за спазването",да,"не, но може да си тръгна ако приключа със задачите за деня",да,Сървис,Да,25,Да,Да,Да,
1/19/2023 7:32:21,2000,2200,1,1,0,QA,Quality Control operator ,София,Няма overtime,0,Sumsub,None,не,не,няколко задължително присъствени дни,не,да,"не, работим фиксирано",да,Сървис,,30,Не,Не,Не,
1/19/2023 7:33:42,4000,4300,1.5,10,0,UI/UX Designer,Senior UX/UI Designer,София,Няма overtime,4000,,,не,да,дистанционно по желание без ограничение,"да, и следи за спазването",не,"не, работим фиксирано",да,Продукт,,22,Да,Не,Да,
1/19/2023 8:20:19,7700,7700,0,5,0,Разработка на софтуер (Dev),Software Engineer,София,Не,14000,,"Go, Java",не,,няколко задължително присъствени дни,не,не,да,да,Продукт,"RSU, ESPP",23,Да,Да,Не,
1/19/2023 9:33:27,6000,8300,1,17,11,Мениджмънт/Тиим Лиид,Team Lead,Пловдив,Да,8800,Prefer not to disclose,"Big Data, Python, AWS, GCP, Azure, Synapse, Snowflake, Cloudera",не,не,дистанционно по желание без ограничение,"да, и следи за спазването",да,да,"не, бонусите са фиксирани",Сървис,Да,22,Да,Да,Да,Overtime-а се избягва. Има well-being-програма.
1/19/2023 10:33:33,3800,4400,1,7,4,Разработка на софтуер (Dev),Senior Java Developer,Варна,Не,500,,"Java, React, PostgreSQL, Spring boot, Python",не,да,дистанционно по желание без ограничение,"да, но не се налага спазването им",не,"не, но може да си тръгна ако приключа със задачите за деня","не, бонусите са фиксирани",Бодилизинг,,25,Да,Да,Да,
1/19/2023 10:56:40,6500,7000,1,5,3,Разработка на софтуер (Dev),React Dev,Remote,Няма overtime,0,-,JavaScript,не,не,100% дистанционно,"да, и следи за спазването",да,"не, работим фиксирано","не, нямаме бонуси",Продукт,Да.,25,Да,Да,Не,
1/19/2023 11:49:07,4700,7000,3,10,2,Мениджмънт/Тиим Лиид,Lead QA Automation Engineer,София,Не,0,,"Python, Robot Framework, SQL, MariaDB, Docker, Kubernetes",не,да,дистанционно по желание без ограничение,"да, но не се налага спазването им",не,да,"не, нямаме бонуси",Продукт,да,25,Не,Не,Да,
1/19/2023 11:52:31,8500,8500,3,7,0,Security,Senior Cybersecurity Consultant,София,Да,0,,Splunk,не,не,дистанционно по желание без ограничение,"да, но не се налага спазването им",да,"не, но може да си тръгна ако приключа със задачите за деня",да,Сървис,,,Да,Не,Да,
1/19/2023 12:52:12,2500,5500,5,8,0,DevOps,Mid DevOps Engineer,София,Да,0,,"AWS, Kubernetes, CI/CD",не,не,дистанционно по желание без ограничение,"да, и следи за спазването",да,да,"не, нямаме бонуси",Сървис,Не,25,Да,Да,Да,
1/19/2023 14:49:47,1000,3000,3,3,0,Поддръжка на софтуер (Support),Customer Support,Варна,Няма overtime,0,,,да,не,100% дистанционно,не,не,"не, работим фиксирано","не, нямаме бонуси",Сървис,,20,Да,Да,Не,
